Timestamp,نام؟  (می توانید نام مستعار بگذارید الزامی به اسم واقعی نیست),سن؟,جنسیت؟,تعداد اعضای خانوار؟ (تعداد عضوی از خانواده که با هم در یک خانه زندگی میکنید),وضعیت تاهل؟,سطح تحصیلات؟,شغل؟,میانگین درآمد ماهیانه خانواده؟,تعداد اتومبیل های خانواده؟,آیا خودتان گواهی نامه رانندگی دارید؟,1- به جز خودتان،چند نفر در خانواده تان گواهی رانندگی دارند؟,2- چه مدل خودروهایی اغلب اوقات می رانید یا تمایل دارید؟,3- خودتان خودروی شخصی دارید؟,آیا قصد خرید خودرو در یکسال آینده را دارید(خرید به علت نیاز به اتومبیل نه  سرمایه گذاری)؟,4- چه مقدار معمولا سوار اتومبیل یا تاکسی می شوید؟,5- چه مقدار معمولا از وسایل نقلیه عمومی مانند اتوبوس و مترو برای انجام امور روزانه استفاده می‌کنید؟,6- چه مقدار معمولا از دوچرخه شخصی برای انجام امور روزانه استفاده می کنید؟,7- چه مقدار معمولا از دوچرخه عمومی یا اشتراکی شهرداری برای انجام امور روزانه استفاده می‌کنید؟,8- روزانه به طور متوسط چند کیلومتر سوار خودرو شخصی یا وسایل نقلیه عمومی می‌شوید؟,9- ترجیح می‌دهید تا مقصد مورد نظرتان خودتان رانندگی کنید؟,10- با روش اشتراک گذاری خودرو (Car sharing) چه مقدار آشنایی داشتید؟ (قبل از خواندن توضیح),11- بعد از خواندن توضیحات اشتراک‌گذاری خودرو، ‌چه مقدار علاقه‌مند به استفاده از این روش هستید؟ ,12- روش اشتراک گذاری خودرو در کاهش آلودگی محیط زیست موثر است. چه مقدار مسایل محیط‌زیستی برای شما اهمیت دارد و حاضر هستید برای آن هزینه بیشتری بپردازید‌، زیرا خودروهای کم مصرف و برقی ممکن است کرایه بالاتری داشته باشند؟ ,13- آیا وقتی سیستم اشتراک گذاری خودرو اجرایی شد، تمایل دارید خودروی شخصی خود را بفروشید؟,14- آیا تمایل دارید خودروی خود را در سرویس‌های اشتراک‌گذاری خودرو قرار دهید و کسب درآمد کنید؟  ,در سوال 14 اگر جوابتان خیر است دلیلش را مختصرا توضیح دهید,15- در صورت استفاده از روش کارشیرینگ، ترجیح می‌دهید هزینه عضویت سالیانه پرداخت کنید(مثلا حدود 200 هزار تومان) و در استفاده‌های روزانه تخفیف بگیرید یا بدون حق عضویت، هزینه هر سفر را پرداخت کنید؟(فرض کنید تخفیف برای هرسفر 25% قیمت عادی باشد),16- کدام روش محاسبه کرایه خودرو را ترجیح می‌دهید؟  ,بیشترین هزینه‌ای که برای کرایه ساعتی حاضر به پرداخت هستید، چقدر است؟,بیشترین هزینه‌ای که برای کرایه بر اساس 10 کیلومتر مسافت طی شده، حاضر به پرداخت هستید، چقدر است؟,17- کدام روش رزرو کردن خودرو را ترجیح می‌دهید؟,18- حداکثر چه زمانی تحمل برای در دسترس شدن خودرو در مکان های مشخص شده  دارید؟,19- حداکثر مسافتی که برای رسیدن به خودرو حاضر هستید پیاده روی کنید چقدر است؟,20- اگر فاصله خودرو بیشتر از این مقادیر بود ترجیح می‌دهید چگونه تا خودروی رزروی بروید؟,21- بیشترین نگرانی های شما در استفاده از خودروی اشتراکی چیست؟(چند گزینه قابل انتخاب است),در سوال قبلی اگر پاسختان در گزینه ها نیست، آن را بنویسید ,اگردر قسمت قبلی جوابتان (بله) است. فرض کنید سیستم اشتراک گذاری خودرو به درستی اجرایی شود،آیا ممکن است از خرید خودروی جدید منصرف شوید؟,,22- اگر در مقصدتان جای پارک خودرو نباشد یا به سختی پیدا شود ، چه مقدار تمایل به استفاده از خودروی شخصی برای رفتن به آن مقصد دارید؟,ممنون از کمک بزرگی که به انجام این پروژه کردین
11/29/2018 9:44:07,حبیب,25-40,مرد,2 نفر,مجرد,فوق لیسانس,بیکار,بین 1.5 تا 3 ملیون تومان,2,بله,1,سدان,خیر,خیر,سه تا چهار بار در هفته,یکبار یا دوبار در هفته,,سوار نمی شوم,بین 20 تا 30,بله,تا حدودی آشنایی داشتم,4,5,خیر,بله,,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مصافت,حدود 30 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,کمتر از 200 متر,وسایل حمل و نقل همگانی,تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما,,,,,
11/29/2018 10:01:38,,18-25,مرد,,,دیپلم,بیکار,بین 3 تا 5 ملیون تومان,,,,,,خیر,یکبار یا دوبار در هفته,یکبار یا دوبار در هفته,,,بیشتر از 50,,اصلا آشنایی نداشتم,3,3,بله,خیر,,هزینه هر سفر بدون تخفیف,بر اساس مصافت(کیلومتر طی شده),حدود 30 هزار تومان,حدود 30 هزار تومان,از طریق تلفن,حدود 15 دقیقه,حدود 1 کیلومتر,پیاده روی,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف",,,,,
11/30/2018 12:06:47,,35-45,مرد,,,لیسانس,شاغل تمام وقت,بین 3 تا 6ملیون تومان,,بله,,,بله,بله,یکبار یا دوبار در هفته,به ندرت (ماهی یک یا دو بار),به ندرت (ماهی یک یا دو بار),,بین 10 تا 20,بله,تا حدودی آشنایی داشتم,کم,متوسط,بله,بله,,هزینه هر سفر بدون تخفیف,بر اساس زمان(ساعت),حدود 30 هزار تومان,حدود 45 هزار تومان,,حدود 10 دقیقه,حدود 500 متر,کنسل می‌کنم,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما",,بله,,تمایل متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
11/30/2018 12:09:24,,زیر 18 سال,مرد,,,لیسانس,سرباز,بین 6 تا 15 ملیون تومان,,خیر,,,بله,خیر,یکبار یا دوبار در هفته,به ندرت (ماهی یک یا دو بار),یکبار یا دوبار در هفته,,بین 40 تا 50,بله,اصلا آشنایی نداشتم,زیاد,کم,بله,بله,,هزینه هر سفر بدون تخفیف,بر اساس زمان(ساعت),حدود 45 هزار تومان,زیر 15 هزار تومان,بدون رزرو کردن و به صورت حضوری,حدود 20 دقیقه,حدود 1 کیلومتر,کنسل می‌کنم,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف",,بله,,تمایل زیاد (در هر صورت با خودروی شخصی ام میروم و در نزدیکترین مکان پارک می کنم),
12/2/2018 20:49:09,,زیر 18 سال,مرد,,مجرد,لیسانس,شاغل پاره وقت,بین 6 تا 15 ملیون تومان,,بله,1,هاچ بک,خیر,خیر,یکبار یا دوبار در هفته,یکبار یا دوبار در هفته,یکبار یا دوبار در هفته,سه تا چهار بار در هفته,بین 30 تا 40,بله,اصلا آشنایی نداشتم,کم,متوسط,بله,خیر,,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس زمان(ساعت),حدود 45 هزار تومان,حدود 45 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 15 دقیقه,حدود 500 متر,تاکسی,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما",,خیر,,زیاد (در هر صورت با خودروی شخصی ام میروم و در نزدیکترین مکان پارک می کنم),
12/2/2018 21:54:10,پپپپ,18-25,مرد,1 نفر,متاهل,دیپلم,شاغل پاره وقت,بین 3 تا 6ملیون تومان,2,بله,1,مینی ون,بله,بله,سه تا چهار بار در هفته,به ندرت (ماهی یک یا دو بار),سه تا چهار بار در هفته,یکبار یا دوبار در هفته,بین 30 تا 40,بله,اصلا آشنایی نداشتم,کم,متوسط,بله,بله,,هزینه هر سفر بدون تخفیف,بر اساس زمان(ساعت),حدود 45 هزار تومان,حدود 30 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 15 دقیقه,حدود 1.5 کیلومتر,کنسل می‌کنم,"بالا بودن هزینه کرایه, تصادف",,بله,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
12/2/2018 22:13:44,,25-35,مرد,3 نفر,مجرد,فوق لیسانس,سرباز,بین 1.5 تا 3 ملیون تومان,1,بله,3,هاچ بک,خیر,بله,سه تا چهار بار در هفته,یکبار یا دوبار در هفته,به ندرت (ماهی یک یا دو بار),سوار نمی شوم,کمتر از 10,بله,تا حدودی آشنایی داشتم,زیاد,کم,خیر,خیر,فرهنگ پایین جامعه در استفاده از وسایل عمومی,هزینه هر سفر بدون تخفیف,بر اساس مصافت(کیلومتر طی شده),زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 15 دقیقه,حدود 500 متر,کنسل می‌کنم,تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما,,بله,,زیاد (در هر صورت با خودروی شخصی ام میروم و در نزدیکترین مکان پارک می کنم),
12/2/2018 22:15:36,مصطفی صابر,25-35,مرد,3 نفر,مجرد,فوق لیسانس,دانشجو,بین 3 تا 6ملیون تومان,2,بله,1,هاچ بک,بله,خیر,یکبار یا دوبار در هفته,یکبار یا دوبار در هفته,دوچرخه ندارم,سوار نمی شوم,کمتر از 10,خیر,تا حدودی آشنایی داشتم,کم,متوسط,خیر,خیر,بعید میدانم که مردم، فرهنگ استفاده‌ی صحیح از وسایل اشتراکی را داشته باشند,هزینه هر سفر بدون تخفیف,براساس ترکیب زمان و مصافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 15 دقیقه,حدود 500 متر,کنسل می‌کنم,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف",,,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/2/2018 22:20:05,ام,25-35,مرد,2 نفر,متاهل,دکتری,شاغل تمام وقت,بالاتر از 15 ملیون تومان,2,بله,1,سدان,بله,خیر,اکثر روزها,به ندرت (ماهی یک یا دو بار),دوچرخه ندارم,سوار نمی شوم,بین 20 تا 30,خیر,اصلا آشنایی نداشتم,متوسط,متوسط,خیر,خیر,,هزینه هر سفر بدون تخفیف,براساس ترکیب زمان و مصافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,کمتر از 200 متر,کنسل می‌کنم,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف, دور بودن خودروهای در دسترس",,خیر,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
12/2/2018 22:28:25,بهروز,25-35,مرد,1 نفر,متاهل,دکتری,شاغل تمام وقت,بین 6 تا 15 ملیون تومان,1,بله,1,سدان,بله,خیر,اکثر روزها,یکبار یا دوبار در هفته,دوچرخه ندارم,سوار نمی شوم,بین 10 تا 20,خیر,اصلا آشنایی نداشتم,کم,متوسط,خیر,خیر,خرابش می کنند.پولشم نمیدن,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس مصافت(کیلومتر طی شده),زیر 15 هزار تومان,حدود 30 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,کمتر از 200 متر,کنسل می‌کنم,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف",,,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/2/2018 22:33:41,مسائلی,25-35,مرد,1 نفر,متاهل,فوق لیسانس,شاغل تمام وقت,بین 6 تا 15 ملیون تومان,1,بله,1,سدان,بله,خیر,اکثر روزها,سه تا چهار بار در هفته,دوچرخه ندارم,سوار نمی شوم,بین 10 تا 20,خیر,تا حدودی آشنایی داشتم,متوسط,متوسط,خیر,خیر,معلوم نیست چه جور فردی سلولز خودرو من شود و چه بویی در آن ماندگار شود!!,هزینه هر سفر بدون تخفیف,براساس ترکیب زمان و مصافت,حدود 30 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,حدود 500 متر,پیاده روی,"تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف",,,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/2/2018 22:38:23,خداداد ,25-35,زن,5 نفر و بیشتر,مجرد,فوق لیسانس,دانشجو,بین 1.5 تا 3 ملیون تومان,2,خیر,2,دیگر,خیر,بله,اکثر روزها,به ندرت (ماهی یک یا دو بار),دوچرخه ندارم,سوار نمی شوم,بین 20 تا 30,خیر,کاملا آشنایی داشتم,زیاد,زیاد,خیر,خیر,محافظه کاری ,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مصافت,زیر 15 هزار تومان,زیر 15 هزار تومان,,حدود 10 دقیقه,کمتر از 200 متر,کنسل می‌کنم,تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما,,بله,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/2/2018 22:45:25,,25-35,زن,4 نفر,متاهل,فوق لیسانس,موارد دیگر,بین 3 تا 6ملیون تومان,1,بله,1,دیگر,بله,بله,اکثر روزها,به ندرت (ماهی یک یا دو بار),دوچرخه ندارم,سوار نمی شوم,بین 30 تا 40,بله,اصلا آشنایی نداشتم,کم,کم,خیر,خیر,,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,حدود 1 کیلومتر,وسایل حمل و نقل همگانی ماندد اتوبوس و مترو,بالا بودن هزینه کرایه,,خیر,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/2/2018 22:50:18,پاشا,25-35,مرد,3 نفر,متاهل,فوق لیسانس,دانشجو,کمتر از 1.5 ملیون تومان,2,بله,1,سدان,بله,بله,اکثر روزها,سوار نمی شوم,دوچرخه ندارم,سوار نمی شوم,بین 40 تا 50,بله,اصلا آشنایی نداشتم,زیاد,کم,خیر,خیر,خودم بهش نیاز دارم,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس مسافت(کیلومتر طی شده),زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,کمتر از 200 متر,تاکسی,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف, دور بودن خودروهای در دسترس",,خیر,,زیاد (در هر صورت با خودروی شخصی ام میروم و در نزدیکترین مکان پارک می کنم),
12/2/2018 22:59:29,Nf,18-25,زن,4 نفر,مجرد,دکتری,دانشجو,کمتر از 1.5 ملیون تومان,2,بله,2,دیگر,خیر,خیر,اکثر روزها,یکبار یا دوبار در هفته,به ندرت (ماهی یک یا دو بار),سوار نمی شوم,کمتر از 10,بله,تا حدودی آشنایی داشتم,خیلی زیاد,خیلی زیاد,بله,بله,,هزینه هر سفر بدون تخفیف,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,حدود 500 متر,با دوچرخه و قرار‌دادن آن درباربند مخصوص دوچرخه اتومبیل,تصادف,,,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/2/2018 23:03:40,شي,25-35,زن,4 نفر,مجرد,فوق لیسانس,شاغل تمام وقت,بین 1.5 تا 3 ملیون تومان,2,بله,4 وبیشتر,دیگر,خیر,بله,سه تا چهار بار در هفته,اکثر روزها,دوچرخه ندارم,سوار نمی شوم,بین 20 تا 30,بله,اصلا آشنایی نداشتم,کم,متوسط,بله,خیر,,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس زمان(ساعت),زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,حدود 500 متر,با دوچرخه و قرار‌دادن آن درباربند مخصوص دوچرخه اتومبیل,بالا بودن هزینه کرایه,,خیر,,زیاد (در هر صورت با خودروی شخصی ام میروم و در نزدیکترین مکان پارک می کنم),
12/2/2018 23:06:44,Sami,25-35,زن,4 نفر,مجرد,لیسانس,بیکار,بین 3 تا 6ملیون تومان,2,بله,2,دیگر,خیر,خیر,سه تا چهار بار در هفته,اکثر روزها,به ندرت (ماهی یک یا دو بار),سوار نمی شوم,بین 20 تا 30,خیر,اصلا آشنایی نداشتم,متوسط,متوسط,خیر,بله,,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس مسافت(کیلومتر طی شده),حدود 30 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,کمتر از 200 متر,با دوچرخه و قرار‌دادن آن درباربند مخصوص دوچرخه اتومبیل,بالا بودن هزینه کرایه,,,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/2/2018 23:12:44,نام مستعار,25-35,مرد,4 نفر,مجرد,فوق لیسانس,شاغل پاره وقت,بین 3 تا 6ملیون تومان,2,بله,2,سدان,بله,خیر,یکبار یا دوبار در هفته,به ندرت (ماهی یک یا دو بار),سه تا چهار بار در هفته,سوار نمی شوم,بین 30 تا 40,خیر,کاملا آشنایی داشتم,خیلی زیاد,زیاد,خیر,بله,,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مسافت,حدود 30 هزار تومان,حدود 30 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 15 دقیقه,حدود 1 کیلومتر,با دوچرخه و قرار‌دادن آن درباربند مخصوص دوچرخه اتومبیل,تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما,,,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
12/2/2018 23:25:03,تست خودم,25-35,مرد,4 نفر,مجرد,فوق لیسانس,بیکار,کمتر از 1.5 ملیون تومان,2,بله,3,سدان,بله,خیر,سوار نمی شوم یا به ندرت استفاده می کنم,به ندرت (ماهی یک یا دو بار),سه تا چهار بار در هفته,,کمتر از 10,خیر,تا حدودی آشنایی داشتم,متوسط,خیلی زیاد,خیر,بله,,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 20 دقیقه,حدود 1 کیلومتر,با دوچرخه و قرار‌دادن آن درباربند مخصوص دوچرخه اتومبیل,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما",,,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/2/2018 23:34:36,تست پو 3,18-25,مرد,,مجرد,لیسانس,خانه دار,بین 1.5 تا 3 ملیون تومان,0,بله,1,شاسی بلند,بله,بله,سه تا چهار بار در هفته,یکبار یا دوبار در هفته,یکبار یا دوبار در هفته,یکبار یا دوبار در هفته,بین 40 تا 50,بله,اصلا آشنایی نداشتم,متوسط,متوسط,بله,بله,,هزینه هر سفر بدون تخفیف,بر اساس مسافت(کیلومتر طی شده),حدود 45 هزار تومان,حدود 30 هزار تومان,از طریق تلفن,حدود 10 دقیقه,حدود 1.5 کیلومتر,تاکسی,بالا بودن هزینه کرایه,,بله,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
